text,label
ભાઈ ગામડા મા ઉલડુ છે કબજો ખેડુતનૈ છે પન નામ વાણીયા ઓ નુ છૈ જે પહૈલા ઉધાર વયાજનો ધંધો કરતા નૈ જમીન લખાવી લેતા પન રંપયા ભલી જતા જમીન પન આછી આશીદેતા પન ખેડુત અભણ હતા તયારે તૉ જમીન નામૈ ન કરતા ,1
ભક્તો કેજરીવાલ ની વાત કરતા હતા ને આ ગુજરાત નો વિકાસ છે ભક્તો ભાજપ ની દલાલી કરોમાં,1
"હરિ ભક્તો બુદ્ધિ વગરના બળદો છે,બહેન,દિકરી,પત્ની ની આબરુ લુટાવે છેઆવો આંધળો વિશ્વાસ ના રાખો ભક્તો",1
ખેડૂતો ની વાડીએ મશીનની જુની ઓરડી મા લઈ જવ પછી બહાર નિકળશે ત્યારે એને ખબર પડી જાશે કે મવાલી નથી ઓરીજનલ છે,0
તારી માં નો ​ભોસરો,1
માણસ કેટલુ સહન કરે આમજ સારો માણસ હિંસક બની જાય છે,0
"હા તો
કોઈ નેતા ની મહેરબાની થી બધું થયી શકે
અહીંયા બિચારા  ને પતાઈ નાખ્યું મોટા નેતાઓ એ તો વોડાફોન આઈડિયા સુ ચીજ ",1
"કેમ, તમે અમને ખરીદી લીધા છે ?",0
હપ્તા ખોર પોલીસ,1
મેઈન ફેક ફેંકમ ફેક તો કોવિડ અપડેટ જ છે  સાહેબ,0
મરવાના થ્યા છે😢,0
આવા માદરચોદ ક્યારે સુધરશે,1
આને ગુજરાતની પથારી ફેરવી છે આવા હરામીના પેટનાઓએ ઇન્સ્ટાગ્રામએ કીર્તિ પટેલને બગાડી છે🤣🤣🤣😅😅🤣🤣,1
સાહેબ વારંવાર આપ પર પ્રહાર કરી રહ્યા છે શું લાગે છે કેમ આવું કરવું પડતું હશે ??,1
  તમારી વાત સાચી છે પરંતુ દોસ નાના કર્મચારી નો નથી ઉપરી અધિકારીઓ નો છેઃ આ લોકો ને ટાર્ગેટ આપે છે અને ટાર્ગેટ પૂરો નાં કરે તો હેરાનગતી કરે છે નોકરી મા અને આ લોકોને નાં છૂટકે કરવુ પડે છે,1
ગૂજરાત માં શું બીજી કોઇ મુખ્યમંત્રી બની ન શકે શા માટે શુ એક જ પાટીદાર શમાજ જ છે,0
રાજકોટ પોલીસ ને તો વાકી રાખી ને ગાઙ ગોળી મારવાની જરૂર છે,1
"કાળા ધન નું કરો
સ્વિસ બેન્ક ના લિસ્ટ નું સુ થયું ??",1
આ પીઆઇ પાસે માસ્ક નો દંડ કોન લેશે?,1
આ કીર્તિ પાછળ બધા બદનામ થાય છે તું લીવે નો આવ વિડિઓ કૉલ મોં કૈં દે પોલીસે તમારા જેવા ઓ પાછળ બદનામ થાય છે,1
જો બળ પ્રયોગ કરવો હોઈ તો અમદાવાદ માં જે ઘટના બની હિટ એન રન ની ચાર બાળકોની માં છીનવી લીધી નબીરા એ તિયાં બતાવો સાલા રાજકીય ગુલામો વર્ધી લીધા પેલા કસમ ખાધી તી યાદ છે,1
ગયા વરહે લોકડાઉન થયુ તયારે ઊંઘ ના આવતી કામ ધંધા અને મહેનત જ શરીર નો ખોરાક છે કામ ઘંઘા જ બંઘ હતા તો ઊંઘ કયાથી આવે,0
"નિસ્વાર્થ ભાવે કામ કરતા હોય અને સાદગી માનવતા નીસ્વાર્થ સેવા કરતા હોય અને જનતા ની વાત શાંતિથી સાંભળતા હોય અને સમસ્યાઓની પરિણામ લક્ષી ઉકેલ લાવતા હોય અને મોટું મન રાખતા વિશાળ હૃદયનાં લોક સેવકોની ,માનવતા, સાદગી, સારા સંસ્કાર ,નિસ્વાર્થ સેવા ને મહત્વ આપે તેવા તમામ પ્રકારના ડિપાર્ટમેન્ટ માં અધિકારીઓ,અને કર્મચારીઓ, પદાધિકારીઓની દેશ અને દુનિયાને ખૂબ જરૂર છે ઉપરોક્ત સદગુણો ધરાવતા કાર્યકરો, નેતાઓ લોકશેવકો દરેક પક્ષ માં વધુમાં વધુ પ્રમાણમાં આવતા રહે તે ખૂબ જરૂરી આવશ્યક અનિવાર્ય છૅ",0
કિશોરીયા ને ખબર પડી ગઈ 😂😂😂😂😂,0
    માટે આખી ગુજરાત પોલીસ ને બદનામ ના કરો તે પોતાનું ઘરબાર છોડીને આપણી રક્ષા માટે દોડધામ કરે છે,0
જમીન પર આવી જાવ વાસ્તવિકતા શું છે તે ચેક કરો પછી ફેકજો,0
આ નાટક મંડળી છે રોજ નવું કંઇક ભજવે છે ને પેટ ભરે છે ને લોકો ને મજા આવે છે,0
"જય હિન્દ
અરે ભાઈ તમને ઘેરે જમવાનું નથી મળતું, બહારનું ખાઈ ખાઈ તમે લોકોએ દેશ ની પતર ખાંડી નાખી, તમારા જેવા જીભ ના જુવારી યાઓ નાં કારણે આવા ભિસ્તા ખવરવનારાના ધંધા હાલી પડ્યા છે, વાંક ફક્ત ને ફક્ત તમારો જ છે
જય હિન્દ",0
હવે તા માધુ દુખે તમારું સાભળી સાંભળી ને,0
"સરકારી લુખ્ખી છે તો અનુશાશન પણ એના જેવું જ હોય ને 
આજે આપણા દેશ ની  કેટલા નીચલા સ્તર પર છે એનુ કારણ જ આ સરકાર છે
આ લોકો નો પગાર આપણા ટેક્સ થી પણ પૂરો નથી થતો એટલે આ બદમાશ લોકો અત્યારે આપણે ને ભય માં રાખવા માંગે છે એમના
પણ એકવાત જાણી લે આ  
જ્યાં સુધી પ્રજા છે ત્યાં સુધી જ તમે છો
બહુજ મફત માં ખાધું બધું જ ઓકવુ પડશે
તમારો પગાર અમે કરીએ છીએ",1
"સ્કુલ મા પણ મેદાન જૉઈએ
અત્યારે કૉઈ સ્કુલ મા રમત માટે મેદાન ન નથી
રેસીડેન્સીયલ એરીયામા
ને ઈંડસટીયલ એરીયામા
બે મકાન મા પણ સ્કુલ લોઈને બેસી ગયા છે
ને એવી મેદાન વગર ની સ્કુલ ને મંજુરી પણ મળી જાય છે",1
આવશે તો ભાજપ જ લોકો સમજી ગયા છે કે નવો અખતરો કરવા જેવુ નથી ક્યાંક ઉલ માથી ચૂલ મા પડ્શૂ તો ક્યાય ના નહી રઈ 😊,0
આ બધા પોલીસ વાળાઓએ આ ગરીબને દર મહીને ₹૫૦૦૦૦ ની સહાય કરવી જોઈએ જેથી તે ભાઇ આ રીતે રોડ પર ફળો ના વેચે બાકી તો કાયદેસર ફળો વેચવા દેવા પડે ત્રેવડ હોયતો ના પૈસાની સહાય કરો બાકી આવા ગરીબને હેરાન ન કરો,0
"સજેસન દરેક સરકારી કચેરીમાં બઢતી, બદલીની સતાતટસ્થ ,અને માનવતાવાદી અધિકારીઓ પાસે હોવી જોઈએ અથવા તો વડી કચેરી દ્વારાજ આ કાર્ય થવું જોઈએ",0
સાવ લુખ્ખા લાગે છે,1
"મોદી સરકારે ખેલાડી ઓ ને ઘણા હેરાન કર્યા છે 
સરકાર ને રાજ્ય સરકારો માં તોડફોડ કરી ને ભાજપનું શાસન સ્થાપવા જ શક્તિ વાપરવી છે ,",1
ધન્યવાદ અમને નિંદર માથી ઉઠાડવા માટે,0
આવા પોલીસ વાળા સપેન્ડ થવા જોયે ફરી નોકરી લાગવા પણ ના જોયે,1
"  ભ્રષ્ટાચાર ને જળ મૂળથી નાબૂદ કરવો પડે
ખોટું થાય ત્યાં દરેક ફરજીયાત વિડિઓ ઉતારી શેર કરવો
ભ્રષ્ટાચાર હટાવો, દેશ બચાવો",1
ખુબ સરસ કાર્ય,0
જિંદગી ઘાસ જેવી છે માં બાપ ના સંસ્કાર,1
"આ ભાઈએ ધ્યાન રાખ્યું મોટા ભાગના પેટ્રોલ પમ્પ પાર ઉતાવાળીયા જ આવતા હોય છે જેનો ફાયદો આ પમ્પ વાળા લઈ લે છે
ગમે તે હોયહંમેશા """" જોઈનેજ મશીન ચાલુ કરવાનું કહેવાનુંઅને છેલ્લે પેટ્રોલ પુરાઈ જાય એટલે મશીનના  પર કિંમત અને લિટર જોઇ લેવા નહીંતર તમે બેધ્યાન થશો તો તરતજ મશીન જાણી જોઈને રિસેટ કરી દેશે
ચોક્કસઈ માટે હંમેશા મશીનમાંથી નીકળતા બિલને લેવાનો આગ્રહ રાખો જરૂર પડે તો ફરિયાદ કરોપણ વાતને જતી ના કરશો
એવું વિચારો કે આવુ પેટ્રોલપંપ વાળા દિવસમાં કેટલા ગ્રાહકો સાથે છેતરપિંડી કરતા હશે ?
માટે જેવું એવું વિચારશો કે મારે શું? તો કદાચ કાલે તમારે પણ છેતરપીંડી નો ભોગ બનવું પડશે
માટે જો પેટ્રોલ પમ્પ પર આવું બને તો બીજા ગ્રાહકોએ સાથ આપીને છેતરપિંડી થતી અટકાવવી જોઈએ આ જાગૃત નાગરિક બનીએ",0
"બીજા કરે તો ગુનો એ કરે તો કાઇ નહી
વાહ કાયદો",1
"તમે તો હવે ભૂખમરો લાવી દીધો છે
હવે બસ કરો",1
કાશ્મીર સાથે પણ તાર જોડાયેલા છે કાનપુર અને લખનઉના લોકો પણ તેમના મદદગાર છે,1
  બરાબર છે જાહેર માં ગોળી મારી દો ફેસલો બીતઈ જ થઈ જાય,1
" કરોડ નો દેશ છે એક ગોલ્ડ મેડલ નથી આવતો , જે દેશ માં ગોલ્ડ મેડલ આવે છે ને  ને  મેડલ એ દેશ ના એથલીટ ને દર મહિને સરકાર રૂપિયા આપે છે , એટલે એ લોકો ફૂલ સમય આપી શકે છે આપણા દેશ માં ગરીબી જ એટલી છે અડધી જિંડગી તો લોકો ની ઘર ચલાવા મા જ જાય છે અહીં કોઈને પર્સનલ વિચારવા નો અધીકાર નથી , અને ઘર ચલાવા મોદી સાહેબ ના પપ્પા નથી આવતા ",0
બાપુ ના આવાથી કોંગ્રેસ મજબૂત થછે 👍,0
 વારા વેપારીઓને કાંટાળી ના કર્યા હોય તો મન પડે એટલો  પરંતુ પેટ્રોલ પંપ વાળા હપ્તા લાગે છે ,0
તમારા જેવા યુવા નાગરિક દ્વારા જ દેશ આગળ આવી શકશે જે સત્યની સાથે આટલું બોલી શકે જે એક ખૂબ સરસ વાત છે,0
_ અરે આ બધી કહાની છે પૂરાન વાંચો તો ખબર પડે કે કલ્કી અવતાર ને હજુ વાર છે આ ભાઈ ની કંઈક અલગ જ સ્ટોરી ચાલે છે😂,0
ઈઝત વળી છોકરી કયારે આવી રીતે બોલે નાઈ અને રખડે નાઈ સારા ઘર ની છોકરી કાયૅ રખડતા નાઈ દેખી હોય ઈઝત વળી છોકરી ૨ વાગે સુધી ઑન્લીને ના હોય ઈઝત રાખવા માં તે આપે પણ કોઈકને ઈઝત આપવી જોઈએ,0
તે લુખાવ પાસે દંડ લિયો  😷🎭 માસ્ક ન પેહરવાનું,1
રાજા સારો હોય પણ એમના કૂતરા વો ભૂખ્યા હોય એટલે સુ કરવા નું આપડા ભારત દેશ ના પોલીસ કૂતરા પણ ના કહી સકાય કૂતરું પણ વફા દાર હોય આતો હડકાયા કૂતરાએ  ,1
 રૂપિયા પેટ્રોલ ના થાય ત્યારે પરિવર્તન વેલણ થાળી લઈને આવશે,1
"જ્યાં સુધી ભારત ના લોકો જાતિ, જ્ઞાતિ, ધર્મ ના આધારે જન પ્રતિનિધિ ચૂંટતા રહેશે ત્યાં સુધી અંધેરી નગરી અને ગંડું રાજા જેવી પરિસ્થિતિ જોવા મળશે",0
% સાચી વાત છે સાહેબ આપણે સરકાર બદલવી પડશે,0
કાખ માંથી આસુ આવી જાય એવી વાત છે સમજો માનવ જાતિ હોયતો સાહેબ,0
ડેમતો ભરાવાનો હશે ત્યારે ભરાશે પણ તમારા પાપ જરૂરથી ભરાઈ ગયા છે,1
બહાદુર છે મારો ભાઈ,0
ભોળી પ્રજા ને કયાં સુધી લૂંટ સો હવે તમારી ટોપી ફેરવવાની છે સુધરી જાઓ,1
ભાઇ આખા ગુજરાતમાં પેટ્રોલ પંપ પર ભષટાચાર ચાલે છે,1
"ગયા વખતે તો તમે કેળાઓ ફાકા મારતા હતા કે
 વર્ષ પાણી નહિ ખૂટે😂😂😂😂",0
"બ્લોગમાં રીપ્લાય તો જોઈ શકાય ને, તે પરથી ખ્યાલ આવી જાય
કોઈ પોતાની ન્યુઝ ફીડ માં એ બ્લોગ નો રેફરન્સ લઈ તેને ખુલ્લો પાડી શકે,   માં એ વિશે વધુ માહિતી મળી શકે",0
"સવજીભાઈ નાના માણસ ની
મદતકરો ઈશાશુછે
બાકીતોતમે મોટાથાવ
નાનો માણસનાનો રહે",0
સંકરસિંહ વાગેલા જેવા નેતાઓ હોય તોજ બીજેપી વારા થોડા ડીલા પડે,0
"પણ પંક્તિ માંથી તમે બધા નીકળી જાઓ તો ઘનશ્યામ મહારાજ એ દૂર કરેલી અંધશ્રધ્ધા ઓ થોડી રહી છે એ પણ નીકળી જાય 😂

કિશોરીયો તો ગીયો 😂",0
ભાજપ સરકાર માં કેટલા નુમના ઓ છે,1
લોકો પૈસા ના ગુલામ બનતા જાય છે,0
ફૂટી કોડી પણ ન આપવી આવાને,1
"હાર્દીક ને આપની પાસે પેસવા ના દેવાય
સમાજ ના બીજા યુવાનો તેના જેવી ગંદી ઓન્દોલન કારી નીતિ ઓ અપનાવશે તો ????",1
અમુક પોલીસ સારી છે પણ આવા નાં લીધે સારા પોલીસ વાળા નું નામ બદનામ થાય છે,1
કેજરીવાલ ને કહેજો જાહેર કરે પૂજારી ને ભથું આપશે કે મોલવી ને આપશે દિલ્હી ની જેમ,0
પહેલા મોઘવારી વધે ત્યારે ભાજપ વાળા પાણી મા પુરીઓ તળતા હતા,0
   સાચી વાત છે ક્રિકેટ માં જ લોકો ને રસ છે કોઈ પણ ને પુછો શું રમવા જાવ બસ ક્રિકેટ જ જવાબ હોય છે અને સરકારી શિક્ષક ધ્યાન નથી દેતા,0
વર્ષોથી તમે ભરમાવો છો એક વાર બીજાને ચાન્સ આપી ભરમાઈ ને જોઈ લઈએ બરોબરને ફાટેલા સ્પીકર 😂😂😂,1
ઉઘરાણી કરવી મોંઘી પડી ગઈ  ફટવાડી દીધી પોલીસ વાળાની  આખું જુંડ થયું ત્યારે મેળ આવિયો,0
"જેમ મોટી બ્રાન્ડ ની કાર કંપની ઓ માણસ ની હેસિયત જોઈ ને વેચે છે એવીજ રીતે શહેરી વિસ્તારમાં માણસ હેસિયત જોઈ ને જ ગાય રાખવા ની પરમિશન આપવાનું ચાલુ કરો એટલે ગાય ને રોડ ઉપર રજડતી મૂકવા વાળા બંધ થાય ગાય નું માન પણ વધે
મારા બેટા ટાઢ, તડકો, વરસાદ કઈ જોતા નથી બે ટાઈમ દૂધ દોઈ રોડ પર છૂટી મૂકી દે છે નઈ નીણ નઈ ખોળ, નઈ દિવસ જોવાનો કે રાત બસ દૂધ હારે મતલબ",0
પોલીસ પોતે સિવિલ ડ્રેસ કે કપડાં માં પોતાની નોકરી કરી શકે ખરાં,1
ધન્યવાદ સુરત થી આમ આદમી પાર્ટી જીંદા બાદ,0
   ની ઉપર જશે તો લાઈટ બિલ આવશે  કોણી પર ગોળ લગાવવા વાળી સ્કીમ છે,1
વાહ ફાટેલ સપીકર તડીપારના ગૂલામ,1
આની પત્નીબીજા સાથે ભાગી ગઈએવું લાગે છે એટલે ગુસ્સામાં લગ્ન બંધ કરાવે છે આ ને ઘરે પણ ત્રાસ હસે એટલે આ ભાઈ ના લગ્ન રોકે છે,0
મને તો આ છોકરી જ નથી લાગતી 😂😂😂😂,1
સાલા પોલીસ વાડજ એમ ની જાત બતાવે પાવર બતાવે છે તો સૂ કરે આમ જનતા એક ના લીધે કેટલા ને બદનામ થાઉં પડે એ નઈ ખબર આ હલકટ લોકો ને સાલા પબ્લીક આમ પણ પેલા થી જ કંટાળી ગઈ ઉપર થી આવા ચૂંટ્યા ઓ નાં લીધે આવુ ભોગવું પડે છે કરપસં જ બસ,1
આ ભાઈ હીન્દુ ઘર્મ વીષે બાેવ આડા અવળું બાેલેલ છે એની માનસીક્તા નક્શલી જેવી જ છે હવે રાજકારણ મા આવી ને સાેમનાથદાદા ના દર્શન કરવા જાવું પડે છે કારણ કે વાેટ જાેઈ એ છે આને બાકી હીન્દુવીરાેઘી વીચારઘારા ઘરાવે છે,1
" પછી આંતકવાદી, દેશદ્રોહી ની વાખ્યા બદલાઈ ગઈ છે",1
સાવ ખોટો માણસ છે,1
પોલિસી ખોટી જનતા ને હેરાન કરે છે પોલિસી પોતે માસ્ક નથી પહેરતા બસ આમ જનતાને હેરાન કરે છે,1
કોશિષ તો કરીદેશ ને માન છે 🙏,0
"ભાઈ ઓ કહેતા દુઃખ થાય છે કે અમુક આવા દુર્વ્યવહાર કરવા વરા પોલીસ વાળા ને લીધે બધા ને સહન કરવું પડેછે આટલી દાદા ગિરિ પોલીસ કરે છે એટલે સામન્ય માણસ દરી જાય છે અને પોલીસ ફરિયાદ કરતા પણ દરે છેબાકી આગળ ભાઈ કીધું એમ એવી ટીમ બનાવો જેમાં વકીલ, માથા ફરેલા માણસો જે બધી ભાષામાં જવાબ આપવા તયાર હોયબાકી પોલીસ વાળા જ આવું કરે તે કેમ ચાલશે",1
"જોઈએ છે // ના બધા સમાચાર પેપર માંકોણ છાપે છે આ ન્યૂઝ ને
મને તો નથી લાગતું કોઈ ની ઔકાત હશેમેહુલ ભાઈ ની જેમ  સામે લડત આપવાની",0
એમના ઘર પૂરતી વાત કરી હશે અને બોલવામાં ગુજરાત બોલાય ગયું હશે વધારે દિલ પર ના લેશો બેરોજગાર લોકોને હકીકત ખ્યાલ છે,0
ચુંટણી આવતા જ પાટીદાર સમાજ હીલોરે ચડવા ની તૈયારી કરી લાગે છે,0
