Tweet,Class
 जर प्रेमाची परिभाषा जणून घ्यायची असेल तर मग आधी तुम्ही स्वःतावर प्रेम करायला शिकाकारण जो व्यक्ती स्वःतावर प्रेम कर… ,0
 मी पण उद्या राष्ट्रपतीची भेट घेणार आणि २०१४ साली लोकसभा निवडणुकीत मोदीनी १५ लाख रुपये देण्याचा आश्वासन दिले होते … ,0
 मविआ चे चाटे काय गोट्या चोळत बसले काय नेत्यांच्या भिकारचोट साले आरक्षण ,1
 सीमा सुरक्षा दलाने (बीएसएफ) राजस्थानमधील श्रीगंगानगरजवळ दोन तस्करांना गोळ्या घालून ठार केले ठार घुसखोरांकडून श… ,0
 माझ्या पुस्तक संग्रहात अजून एका पुस्तकाची भर पडली खरतर मीच मागवलं मध्ये असलेल्या बऱ्याच पुस्तकांचा फडशा… ,0
 तुम्हाला कसे माहीत  नाही तेकिती बाजू घेणार तिची प्रसिद्धीसाठी तोंडात येईल ते बोलते ,0
 इकडे मराठा समाजात असंतोष दिसु लागताच बारामतीचे करामती काका आपली दलीत वोटबैंक मजबूत करणेसाठी भिमाकोरेगाव विषय घेऊन आ… ,0
 शेट ला विचार कसा पाय घातलाये शेटच्या गोट्या पायाच्याच्या बोटांनी हालवुन सोडल्या शेट्टया ,0
 आमचे मित्र श्रीविष्णू चवरे सर यांची कन्या कुगार्गीने (इयत्ता ३री) काढलेले यांचे चित्र ,0
 लग्न काश्मिरी लांड्या सोबत केलं आणि इकडे मराठी चे धडे देते म्हणून ह्या दळभद्री  ला बंद केलं पाहिजे ,1
 कारे चोक्या  गेल्या का गोट्या कपाळात तुज्या दलिंदर आणि दलाल कुत्रकार आहे तू ,1
 दोन्हीकडे सुपडा साफ होणार आहेवावा तुमच्या तोंडात  साखर  पडो  ,1
 अपमान झाला म्हणून दिल्लीपती समोर त्याचीच खिल्लत उधळून लावणारे माणूस आता महाराष्ट्रात जिवंत राहिले नाहीत… ,0
 राज्य सरकारचे अधिकारी आम्हाला आवश्यक कागदपत्र देत नाहीत अशा परिस्थितीत प्रभावी युक्तिवाद करणे शक्य नाही अशा शब्दात वरि… ,0
 कोरोणा लवकर घालवायचा आहे असं वाटतंय देशाचे महत्वाचे मुद्दे पुढे आणायचे असतील आर्थिक स्थिती वगैरे तर सोशल मीडिया वर… ,0
 कौतुक कुणाचे करावे सुताराचे की घरमालकाचे🤣🤣🤣🤣🤣 ,0
 ला एक प्रार्थना करतो की अश्या व्यक्तीचे कव्हर नका करू तुम्ही दाखवता आणि तिला अजून ,0
 कंगना च फक्त कार्यालय तुटलंय   इकडे तर  भारतीय अर्थव्यवस्था  ने केलीय त्याबद्दल  गोदी मीडिया … ,0
 २०१७ साली  एसटीच्या ६९ व्या वर्धापनदिनानिमित्त आम्ही एसटीप्रेमींनी सजवलेल्या या लालपरीचा सातारा येथे माझा मित्राने… ,0
 किती रंगवीशी रंग रंग भरले डोयात माझ्यासाठी शिरीरंग रंग खेये आभायात   बहिणाबाई चौधरी… ,0
 एकीकडे सत्तेच्या ची आस आणि दुरीकडे आस फरक आपल्या समोर आहे  इथे लोकांचे जगायचे वांदे आणि ह्या ,0
 बनगरवाडी   व्यंकटेश माडगुळकर आवडता ग्रामीण कथासंग्रह माणदेशातल्या एका  लेंगरवाडी  नावाच्या वाडीवर… ,0
 कंगणाच्या कार्यालयावर जेसीबी चालवून मुंबई महानगर पालिकेने आणि मुंबई पोलीस प्रशासनाने योग्य केले आहे महाराष्ट्राचा  मुंबई… ,0
 कमळाबाईने बोचा वाट्ला घाई घाई आणि म्हतारा पणत कोणी नाही बारा तासात राष्ट्रपती राजवट संपवून शप्पथ विधि झाला ए… ,1
 तुम्ही कितीही विष ओका आणि जनता माफ करणार नाही  सत्ता आता कायमची विसरा ,0
 याआधी कितीजण बोलून गेले तेव्हा झोपले होते का?महाराज्यांच्या… ,0
 च्यायला कसला आनंद ह्या बाईं ला? अरे तो मर्चेंट नेवी मधे असला तरी त्याला मनुष्य तरी समझता कि नाही? का… ,1
 मन मारून जगणे ही सुद्धा एक कलाच आहे दुर्दैवाने ती कुणाच्या नशिबी अवगतू नये आणि झालीच तर हसऱ्या चेहऱ्याने तिला स्वीकारा… ,0
 जोपर्यंत आपण निमूटपणे सर्व काही सहन करत असतो तोपर्यंत जगाला चांगले वाटत असतो पण एखाद्यावेळेस तुम्ही सत्य वास्तविकता स… ,0
 मुकेश अंबानी यांच्या निवेदनानुसार  वर्षात रिलायन्स सध्याच्या दुप्पट व्यवसाय करत असेल शेअर ची किंमत अगदी व्यवसा… ,0
 ) कातळ  या रणजित देसाई यांच्या पुस्तकात ग्रामीण भागात  साली कूळ कायदा आलाया कायद्यामुळे शेकडो वर्ष… ,0
 एखाद्या नेत्याविरुद्ध बोलाल  तर बंगल्यावर नेऊन बडवले जाईल‌ शासनाविरुद्ध बोलाल  तर घर पाडले जाईल आणि शेवटी गप्प… ,0
 कोरेगाव भीमा हिंसाचारप्रकरणी आणखी एक अटकेतआता कबीर कला मंचच्या कार्यकर्तीला अटक म ,0
 मधेच फोनं डिसकनेक्ट व्हायलेत अन हे  व्ही व्ही  करत दिवसभर डोक्याचा भुगा करायलेत अहो  जाहिरातीला एवढा खर्चा करण्यापेक्षा… ,1
 कसली मस्त पुच्ची आणि बोचा आहे हीचा  ,1
 अपमान झाला म्हणून दिल्लीपती समोर त्याचीच खिल्लत उधळून लावणारे माणूस आता महाराष्ट्रात जिवंत राहिले ना… ,0
 मग चला सुरू करूया    मी पाहिलं वाक्य टाकतो     काळोख  थोडा सा पाऊस  मंद वारा  आत्ताच पुन्हा दिसला  ना… ,0
 अरे बापरे तो बावळट शेठ आणि ट… ,1
 अवधुत आणि भातखळर यांनी लावली भाजपची वाट 🤣 अवधुत आणि भातखळकर यांनी लावली भाजपची वाट 🤣 पुर्ण महाराष्ट्राला प्रश्न… ,0
 पंतप्रधान नरेंद्र मोदी १० सप्टेंबर रोजी पंतप्रधान मत्स्य संपदा योजना (पीएमएमवायवाय) डिजीटली सुरू करणार आहेत पंतप्र… ,0
 नाईट लाइफ का चालू केली मुंबई मध्ये ड्रग्स चा बिसनेस वाढवायचा होता तर आलं लक्षात ,0
 हे काय पहिल्यांदाच होत नाहीये  पासून राम मंदिरासाठी येणाऱ्या पैश्यांवर सगळे भिकारचोट गब्बर झालेत … ,1
 आईघाल्या विदर्भच्या बावाजीनो  ५ वर्ष तो फडण२०… ,1
 प्रेमींनो आली रे आली आली ला भेट द्या आपली टीम बनवा आणि स… ,0
 ती मांडत असलेल्या विचारांमध्ये  त्यात लपलेल्या अर्थामध्ये जर तुम्हाला भीती जाणवत असेल तर पुरुष म्हणून तुम्हाला अंतरबाह्य ब… ,0
 आबे रज्जो ती   आहे 🤣🤣🤣 कसली मंद आहे रे तू भाजप वाली शोभतेस 🤣🤣🤣 ,1
 म्हशीच्या गळ्यातील घंटा सुशांत रिया  कंगना आलिया नेहरू पटेल  पाकिस्तान चीन। ,0
 मराठा आरक्षण प्रकरण विस्तारित खंडपीठाकडे सोपवलं गेलं आहे पण मराठा आरक्षणाला तात्पुरती स्थगिती देण्यात आली आहे यावर… ,0
 एक दिवस नेहमीप्रमाणे ऑफीसमध्ये आलेला प्रत्येक कर्मचारी समोरच्या बोर्ड वाचून आश्चर्य चकित होत होता   तुमची प्रगती रोख… ,0
 अरे सोड मुर्खाइतिहास तू भाजप च नको सांगूआज जे मुंबई  महाराष्ट्र मद्ये चालू आहे… ,1
 याने तर लोकांची फाडून ठेवली ,1
 झाशीची राणी  लक्ष्मीबाई नेवाळकर  होत्या झाशी संस्थान साम्राज्याच्या सरदाराचे होते ,0
 संकटं तुमच्यातली शक्ती  जिद्द पाहण्यासाठीच येत असतात ,0
 तू गोट्या खेळ आणि थिल्लर चाळे कर तुला झापडं लावलीत त्यामुळे जेवढं दाखवलं जातं तेवढंच बघ आणि तेवढंच तोंड उघड ,1
 पालकमंत्री साहेब संगमनेर तालुक्यातील  गाव आहे माझे  साली मी जमीन बँकेकडे गहान ठेऊन … ,0
 त्याच्या एवढा बावळट पत्रकार कोणी नसेल ,1
 २०१८ वर्ल्ड कप गोल्डन बॉल विजेता व २०१८ मधील सर्वोत्तम खेळाडू  क्रोएशियन लुका मॉड्रीक याला ३५ व्या वाढदिवसाच्या हार्दिक शु… ,0
 १९३९ साली खोती पद्धत रद्द करून शासनाला कूळ कायदा बनविण्यास भाग पाडणारे आगरी समाजातील नेते नारायण नागो पाटील प्रकल्प… ,0
 भिकारचोट मराठी मी… ,1
 जेव्हा सर्वसामान्य लोकांच्या मनात खरे काय  खोटे काय अशी संभ्रमाची अवस्था तयार होते  तेव्हा मनाच्या मदतीला अध्यात्म येते राग… ,0
 प्रधानमंत्री स्वनिधी योजनेखाली मध्यप्रदेशातील  लाख  हजार विक्रेत्यांना  कोटी रुपयांची कर्जं मंजूर  पंतप्रधा… ,0
 आपल्याला जर सर्वकाही गमावल्यासारखे वाटत असेल  तर दरवर्षी झाडे पाने गमावतात आणि तरीही ते उंच उभे राहतात आणि अधिक चांगले… ,0
 मृत्यूपत्र करताना कायदेशीर बाबींच्या पूर्ततेपेक्षाही कठीण काम असतं ते मालमत्तेच वर्गीकरण आणि विभाजन काही मालमत्ता… ,0
 नाव बदलले तर यांचे राजकारण करण्याचा एक मुद्दा कमी होईल ना यांना फक्त घोंगडे भिजत ठेवण्यात मजा ये… ,0
 पोमाणे मादरचोद तुझ्या गांडीतुन लय बेकार धुरर निघणार आहेतू तेल लावून तयारीत रहा फेक अ… ,1
  वर चीन सोबत असलेल्या स्थितीवर रक्षा मंत्री च लोकसभेत संबोधन जेवढे सांगता येईल  तेवढे सांगितले आता अश्यावेळी… ,0
 कोरोनाकाळात स्वतःचे अपयश झाकण्यासाठी केंद्रातील भाजप आणि राज्यातील महाभकास आघाडी सुशांत सिंग प्रकरणाचा पुरेपूर वापर… ,0
 भारी लुक्का सावंत  अशी अनेक पालुपदं आहेत या गुलामा साठी सतरंजी उचल्या भिकारचोट लुगडी धुणारा  पप्पू चा पप्पू … ,1
 भारतीय रेल्वेच्या  सेवेबद्दल तुम्हाला किती माहिती आहे? ,0
 आबे चुतीये लोक तुला शिव्या देत आहेत ह्या वरूनच ओळख मराठी लोकांच्यात किती चीड निर्माण झाली आहेमंद बुद्धी आ… ,1
 लग्न  मुंज किंवा आणखी कोणते कार्या साठी   माणसांची अट आहे विरोध प्रदर्शन करिता प्रत्येक बाजूच्या किती लोकांना अनुमती आहे?… ,0
 भारतीय संघाचे माजी अष्टपैलू खेळाडू सय्यद आबिद अली यांना वाढदिवसाच्या खूप खूप शुभेच्छा   🥳🥳 ,0
 एकाचे शंभर करायला वेळ लागत नाही मात्र शून्याचा एक करायला वेळ लागतो हा नियम खुद्द सचिन तेंडुलकरलाही लागू झाला १०० शतके… ,0
 मंदा चित्राताई ट्विटमध्ये म्हणतात  राज्यात  पक्षाचे … ,1
 शरीरापेक्षा मनाचा थकवा खूप त्रासदायक असतो शरीर थकंल की शांत झोप लागते आणि मन थकलं की झोप उडते ,0
 नेहमीच मी तूझ्या  नजरेत हरवतो पण तुलाच फक्त  मी तुझ्यात गवसतो ,0
 एक नालायक बाई एका महाराष्ट्रीयन मुलीला पोर्न स्टार म्हणते आणि दुसरी नालायक बई… ,1
 आईघाल्या माझ्या घरचे मराठी संस्कृती मध्ये वाढले आहोत ह्या नशेडी सारखे नाही अजुन एक तोंड आणि… ,1
 तोच भाव आपण मूर्तीत ओतला की ती मूर्ती आहे हा विचार नष्ट होऊन तो देव आहे असा अनुभव येतो  ,0
 च्यायला वर्क फ्रॉम होम मध्ये पण ऑफिसवाले जीव काढतातएवढं काम कि स्वतःकडे पण बघायला वेळ नाही नशीब लग्न नाही… ,1
 तुमचं महानगरपालिकेने कंगना च्या बांधकामावर केलेल्या कारवाही वर काय मत आहे? ,0
 भक्तांची आधुनिक झासी कंगना रानावत हिचे झाशीच्या राणी बद्दलच वक्तव्य बघा   तुम्हाला लाज वाटायला पाहिजे   दळभद्री बिं… ,1
 टाळेबंदीमुळे नोकरीवर गदा रोजगाराच्या शोधासाठी वाहतुकीचा अभाव  उपनगरी गाडय़ा बंद असल्याने पालघर जिल्ह्य़ातील… ,0
 या प्रकरणात शिक्षण मंत्री यांनी दखल घेऊन बारकाईने लक्ष देऊन योग्य ती कडक कारवाई करण्यात यावी… ,0
 अजूनही हिंदी लादत आहे भाषिकांवर ?आपण फोन केला की कोरोनामुक्तीच्या हिंदीत… ,0
 कोथंबिरीतून  लाखांचे उत्पन्न मिळाल्याचा आहे हा फोटोपण त्याची सत्यता आलीये समोेर म      ,0
 तुजाई तर पुऱ्या घोळक्यात नंगी होती  लई आवडत त्या रांड ला ,1
 छत्रपतींच्या महाराष्ट्राला पाकिस्तान म्हणणारी ही मंद बाई स्वतःला झाशीची राणी समजते मु… ,1
 मित्रांनो  एक लक्षात घ्या आता फक्त कार्यालय बरोबर नव्हते असं लक्षात आल्यावर बांधकाम तोडण्यात आलेले आहे पण अजून मु… ,0
 मुंबईतील माणसाची हिंदी बोलण्याची घाणेरडी सवय एकदिवस त्याच्याच सर्वनाशाला कारणीभूत ठरेल आप… ,0
 मराठ्यांनो आता तरी डोळ्यावरची झापडं हटवा आणि पहा समाजाचे ते ‘तथाकथित  पुढारी आणि मराठा मोर्चाचे ते ‘स्वयंघो… ,0
 बावळट लोकांना पण मालिकेत घेतात तर ? ,1
 म्हणलेले पंत मागे एकदा की साखर आणि चहापत्ति तोंडात टाकून सरळ शेगडीवर जाऊन बसतात ते खरं असावं… ,0
 माझे कुटुंब  माझी जबाबदारी मोहिमेवरून भाजप नेत्याचा मुख्यमंत्र्यांना टोला     ,0
 ज्यांचा बाप सकाळच्या पारी बोचा आवळून सार्वजनिक संडासाच्या लाईतन उभा असतो  ते शैणिक सुद्धा आता म्हणायला लागलेत मुंबई… ,1
 संजय राऊत आईघाल्या आहे शिवसेना चा  आहे मालक बनायला निकाला कुत्रा शिवसेना तर सोनिया रांडेचे पायचाटे बन्दे… ,1
 पण तुझी आई निव्वळ  रांड आहे म्हणतेय नाही मला… ,1
 पावसाची फ्रेंड रिक्वेस्ट   मनिष कासोदेकर ,0
 या मिडीया ला कोणीतरी समजावून सांगा रे  देशाला रियाची गरज नाही तर शेतकर्‍यांना  यु रिया ची व युवकांना  नोकरी ची गरज आहे… ,0
 बाळगू नका ६) आपली प्रतिकारक्षमता किती चांगली आहे याचा दंभ मिरवू नका ७) नम्र व्हा महापुरे वृक्ष जाती तिथे लव्हाळी… ,0
 घर सुटलं पण प्रश्न सुटत नाहीत    किशन  ` ,0
 बुधवारचा कॉलम – फोकस – सोनेरी सिंहाचे लाल ड्रॅगनला आव्हान  ,0
 एखाद्या गोष्टीच्या प्रभावाखाली येऊन घेतलेले निर्णय कधीकधी चुकीचे ठरतात ,0
 महाराष्ट्र राज्य सरकारच्या मराठा आरक्षणाला स्थगिती देऊन खंडपीठाकडे पाठवले मग केंद्र सरकारच्या आर्थिक आरक्षणाला खंडपीठाक… ,0
 नमस्कार तुमची ची जाहीरात इतकी कंटाळवाणी व त्रासदायक आहे की जाहिरात बघून असलेले… ,1
 भिकारचोट लेकाचे  मिडिया  कलाकार सगळे विकले गेले आहे राज्य सरकारच्या कामासाठी ,1
 सर्व त्रास सहन करून पुन्हा उठण्याचा प्रयत्न करत आहे जुने सर्व काही सोडून नवी स्वीकारण्याचाच… ,0
 गुलाबाच्या कळीला थांग नव्हता   ती अल्लड वाऱ्याच्या झुळकेला लाजून जायची  मनोमनी मंद काजव्याची लगबग तिच्यापाशी गुंतत होती… ,0
 आपण निसर्गाचा एक छोटासा भाग आहोत  ही जाणीव मागे पडून  आपण निसर्गाचे मालक आहोत  हा विचार गेल्या काही दशकांपासून मूळ… ,0
 नक्कीच भाऊ महाराष्ट्रात फक्त मराठीच वापरली गेली पाहिजे आणि पर्यायाने इंग्रजी… ,1
 ने विरोधात केलेली कारवाई ही सुडबुद्धीने केलेली कारवाई आहे असंच म्हणावं लागेल जर कंगनाचं हे… ,0
 मुंबई मधून बाहेर गेले तर महाराष्ट्रासाठी मराठीसाठी फायद्याचे ठरेल सर्वात महत्त्वाचे म्हणजे… ,0
 महाराष्ट्राचे माजी मुख्यमंत्री हिंदीत का बोलत आहेत? आपल्या भावना त व्यक्त कर… ,0
  घ्या राउत ती तर  बोली जे की हिंदुस्तान च आहे हे बेन मुंबई ला पाकिस्तान बोला आता काय रिप्लाई दे… ,0
 आयपीएलमध्ये विराट धोनीसारख्या भारतीय दिग्गजांनाच करावा लागणार अडचणींचा सामना  जाणून घ्या कारण ,0
 भुजबळ वाचतो की जातो माहीती नाही आज जोर जोरात भुंकालाय राव  ,0
 बघा  गोबरभक्तांची झाशीची राणी चपला घालून देवाच्या पाया पडतेय यावर सगळे गोबरछाप तोंडात बोळे कोंबून बसतील ,1
 चाट ना त्यांची तोंडात घे भक्ताड ,1
 मुळात मराठी ट्विटर ला कीड लागलीये ती तुझ्यासारख्या लोकांमुळे ,1
 अरे मुर्खा दादासाहेब फाळके होते तू जरा अभ्यास कर बर आता तर यांनी पण अभ्यास सुरू केलाय ,1
 जिवनामध्ये स्वतःला न पटणार्‍या गोष्टी स्पष्टपणे जो नाकारू शकतो त्याला कधीच पश्चाताप करण्याची वेळ येत नाही ,0
 मुर्खा सारखे नकोतिथे मराठी अस्मितेच्या नावावर फालतू राजकारण करून महाराष्ट्राचे मोठे नुकसान करणार आहेत हे लोक मग म्हणाल म… ,1
 छत्रपती संभाजी महाराज यांच्या नावाने गेल्या कित्येक वर्षांपासून बिडी विकणाऱ्या कंपनीला अखेर दणका बसला आहे संभाजी… ,0
 नीच आहेत ते दळभद्री ,1
 दळभद्री पुन्हा नेहरू ने काय केले म्हणू नको चोंग्या ,1
 घाणीत लोळणारे डुक्कर कोण? सावरकरांची बदनामी करणारे खरे डुक्कर आणि भेकड ,1
 शिशुपालाचे अजून किती अपराध भरायची वाट पाहतोयस श्रीकृष्णा? ,0
 दुपारी मोकळ्या पाण्यात गाडी धुतली घरी आलो चहा घेतला अचानक आई बाहेर आली आणि म्हणाली  सकाळी बघितलेली शाम्पू ची बॉ… ,0
 अरे बाबा घे अमराठी लोकांना अजून डोक्यावर  कधी सुधारणार काय माहित  मुंबई ला काही पण बोली ते नाही दिसलं का हो ?… ,1
 नगरसेवक स्थानबध्द  अवैध सावकारी व्यवसायाशी होता संबंध सोलापूरात एमपीडीए कायद्यांन्वये कारवाई ,0
 मनात असंख्य वेदनादायी प्रश्न त्यावर न मिळणारी उत्तरं असंख्य असे आक्रोश त्यावर न मिळणारा दिलासा ,0
 कोणत्याही  रिलेशनशिप मध्ये सुंदर दिसणं खूप महत्वाचं असतं? 🤐🤐 ,1
 सामान्य माणूस राहिला कुठे आहे मी तुज्या सारखा अंड भक्त झालो आहे जय देवेंद्र फणनस  ,0
 नशीब    कोणीतरी आहे जिवंत इथे मायानगरीत   ,0
 सोप्पे आहे  मधील सीक्रेट चॅट लपवणे  फॉलो करा या स्टेप्स ,0
 मंद बुद्धीचे प्राणी फार भटकत आहेतजरा तोंडाला लगाम लावा जातीयवादी बोलण्यापेक्षा मराठा समाजाला पाठींबा द्यातुमच्यामुळे… ,1
 आमाला पण बोलव कधी तरी तूझ्या भोकात लवडा घालायला ,1
 कंगना   मुंबई हे शहर पाकव्याप्त काश्मीर आहे मुंबई महानगर पालिका  ,0
 च्यायला समोरून डिप्लोमा च्या पोरी येत होत्या म्हणून गेट वरून चडत होतो तिथेच पँट फाटली   ,0
 ते  न स्तुती केलेलं धारावी मॉडेल कुठ गेल पाटील साहेब? मराठी उत्तर भारतीय चतुर्वेदी ते मराठी पा… ,0
 सरकार या सर्वावर गुन्हे दाखल करणार का जसे यांच्यावर गुन्हे दाखल केले?… ,0
 फुलपाखरू फुलाभोवती जसे फिरते तसे आपले नाते एकमेकांभोवती फिरते फुलाचा सुगंध दूरपर्यंत येतो प्रेमाचे अत्तर आपण शिंपडत… ,0
 आणि हे स्त्री पुरुष समानतेचा वारसा जपणार च्यायला जीभ झडेल बे ,1
 मोदीजी आल्यापासून बेरोजगारी वाढली  साली आम्ही सगळे कलेक्टर होतो ,1
 विचारांच्या वादळात हरवलं की मनाचे प्रश्न मात्र अनुत्तरीत राहतात ,0
 डेढपूट्या  दोघेजण गोट्या खेळत बसलेत ,1
 खोटेपणा आणि मोठेपणा दाखवून माणसं जोडता येतात पण ते टिकवता येत नाही   जे काही आहे ते रियल आहे अस करा की आपला स्वभाव बघुनच… ,0
 रंडी साली ,1
 १९६० साली महाराष्ट्रातल्या साध्या मराठी माणसांनी लढुन मुंबई महाराष्ट्राला मिळवून दिली ती माणसं म्हणजे कुणी ब्रॅंड नव्ह… ,0
 भाजपचे खासदार च्या आयटी सेल संदर्भात काय म्हणतात ते वाचा ,0
 चिन्हां मधूनी अक्षरे  अक्षरे जुळता शब्द बनती वाक्यांशी ओळख वाढत जाता  माहिती ची द्वारे उघडती  साक्षर… ,0
 भिकारचोट पत्रकार दलाल आहेत साले ,1
 दळभद्री भिकारी आघाडी सरकार चा धिक्कार असो ,1
 कोणी मारलं त्यांना ? काँग्रेस च्या सोबत कोण गोटया खेळतय आता ?? ,1
 बँकेचे लोन गरीब   वर्ग वेळेवर देऊ शकला नाही तर त्यांना जमीन विकून डोक्यावरचं कमी करावे लागते आणि मान… ,0
 डुक्कर शब्द वापरलाज्यांचे काही राजकारणी २४ ७ लांगुलचालन करतात  त्या वोटबॅंकेला झोंब… ,1
 होणे कुटुंब व्यवस्थेला हादरा देणारं आहे मग ते कोणा एका साथीदाराची इच्छा आहे म्हणून किंवा परस्पर संमतीने ,0
 या माणसाचा इशारा मोदी सरकारने गंभीरपणे घ्यावा नाहीतर अत्यंत वाईट परिणामांना सामोरे जावे लागेल भारताला येणार्या काळात… ,0
 अर्णब कंगना सारखे लोक मुंबईत येऊन मुंबई कोणाच्या बापाची नाही असे मराठी माणसाला ठणकावून सांगतात आणि त्यांच्या इथे धुणी भांडी… ,1
 तुझ्या आईचा भोसडा बाजू वाल्याने मरला आहे का रे मादरचोद ,1
 हिटलर भाजप च्या गोटया चोळ्या 🤣 हिच काम कर हिजड्या गिरी ची ,1
 मला माणसे जोडायला आवडतात जोडलेली नाती जपायला आवडतात कारण माझा विश्वास आहे की माझ्यानंतर मी कमवलेली संपत्ती मी बरोबर… ,0
 लै भारी काम हॉलिवूड ची धमाल आपल्या भाषेत ,0
 प्रवासात असतांना त्याने चड्डीच्या वरून पॅन्ट सुद्धा लावला होता पण  पादला बिचारा  वायरस ने सर्वांच्या नाकात… ,1
 मानसशास्त्रा नुसार लोक काय म्हणतील?? वरील वाक्याने जेवढे स्वप्नांचा खून केला आहे तेवढा कोणत्या दुसर्या गोष्टी ने केले न… ,0
 गँभीर प्रकरण महाराष्ट्राची अवस्था बिकट आहे भाषणात मोठे शब्द वापरणे ऐकले  कृती करावी   उ… ,0
